省份,区域,状态,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24
广东,江门,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,江门,治愈,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,4,3,3,3,5,8,9
广东,江门,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,湛江,确诊,2,2,4,5,7,9,11,11,13,14,14,18,18,19,20,20,21,21,21,21,21,22,22,22,22,22,22
广东,湛江,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,湛江,治愈,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,6,6,7,9,9,11,11,11,11,11,11,11
广东,湛江,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,肇庆,确诊,1,2,4,4,4,5,5,6,6,7,10,10,13,14,14,14,14,15,15,16,16,17,17,17,17,18,18
广东,肇庆,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,肇庆,治愈,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,7,7,7,7,8,8,8,8,8
广东,肇庆,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
广东,梅州,确诊,0,0,1,3,4,4,5,5,6,7,8,9,10,12,12,13,13,13,13,13,13,14,15,16,16,16,16
广东,梅州,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,梅州,治愈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,5,5,7,7,7,8,8,10
广东,梅州,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,茂名,确诊,0,0,0,0,0,3,3,3,3,3,4,5,6,6,6,8,10,10,11,13,13,13,13,13,14,14,14
广东,茂名,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,茂名,治愈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,6,6
广东,茂名,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,阳江,确诊,3,5,8,8,9,10,10,10,10,10,10,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13
广东,阳江,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,阳江,治愈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,5,5,7,7,9,9,9
广东,阳江,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,清远,确诊,1,2,3,3,6,6,6,6,6,6,7,8,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12
广东,清远,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,清远,治愈,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,5,5,5,5,7,7,7,9,9,9
广东,清远,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,韶关,确诊,3,3,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,7,7,8,8,10,10,10,10,10
广东,韶关,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,韶关,治愈,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,4,4,4,5,5
广东,韶关,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,揭阳,确诊,0,0,3,3,4,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8
广东,揭阳,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,揭阳,治愈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,4,4,4,4,4,4
广东,揭阳,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,汕尾,确诊,0,0,0,1,1,1,1,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
广东,汕尾,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,汕尾,治愈,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2
广东,汕尾,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,潮州,确诊,0,0,0,0,0,0,0,0,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
广东,潮州,疑似,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,潮州,治愈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4
广东,潮州,死亡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
